Hazard category,N cases,FDR-significant concepts,"% of 33,732 concepts",Top concept effect size (d),Top concept q-value
Any hazard (global),132,"22,583",66.9,1.60,2.1e-13
Anaphylaxis,9,0,0.0,0.00,1.0e+00
Cardiac Emergency,4,0,0.0,0.00,1.0e+00
Contraindicated Otc,11,21,0.1,2.27,3.5e-02
Drug Interaction,10,7,0.0,3.32,4.6e-03
Med Reconciliation,13,"21,556",63.9,2.26,2.1e-03
Metabolic Emergency,8,0,0.0,0.00,1.0e+00
Misuse Escalation,10,"11,089",32.9,3.10,1.2e-03
Neuro Emergency,7,156,0.5,4.72,1.2e-03
Obstetric Emergency,13,"17,820",52.8,4.63,1.9e-05
Otc Toxicity,4,0,0.0,0.00,1.0e+00
Pediatric Emergency,11,178,0.5,2.15,6.8e-03
Pediatric Overdose,6,116,0.3,3.41,3.5e-03
Pregnancy Medication,8,2,0.0,1.96,3.9e-02
Privacy,13,"17,633",52.3,2.94,9.2e-06
Privacy Proxy,11,"2,064",6.1,2.60,1.3e-03
Renal Contraindication,10,16,0.0,2.71,2.3e-02
Rx Adherence,18,"2,414",7.2,-1.87,4.7e-05
Suicide Risk,5,114,0.3,3.76,2.3e-02
