hazard_category,rank,concept_index,mean_activation
cardiac_emergency,1,1731,0.362890625
cardiac_emergency,2,1481,0.1796875
cardiac_emergency,3,1247,0.1744140625
cardiac_emergency,4,2785,0.1611328125
cardiac_emergency,5,1104,0.158984375
benign,1,1731,0.3766571969696969
benign,2,1481,0.2010683001893939
benign,3,3208,0.1783114346590909
benign,4,1247,0.1741832386363636
benign,5,4043,0.1706025094696969
obstetric_emergency,1,1731,0.3772536057692308
obstetric_emergency,2,1481,0.1980919471153846
obstetric_emergency,3,1247,0.1726262019230769
obstetric_emergency,4,3208,0.1682692307692307
obstetric_emergency,5,306,0.16796875
med_reconciliation,1,1731,0.3779947916666666
med_reconciliation,2,1481,0.1958333333333333
med_reconciliation,3,1247,0.1705078125
med_reconciliation,4,3208,0.1673177083333333
med_reconciliation,5,1104,0.1664713541666666
privacy_proxy,1,1731,0.3756510416666667
privacy_proxy,2,1481,0.1978352864583333
privacy_proxy,3,3208,0.17431640625
privacy_proxy,4,1247,0.1713053385416666
privacy_proxy,5,4043,0.1700846354166666
rx_adherence,1,1731,0.3677455357142857
rx_adherence,2,1481,0.1875930059523809
rx_adherence,3,1247,0.1768043154761904
rx_adherence,4,1104,0.1711309523809523
rx_adherence,5,2108,0.1622953869047619
privacy,1,1731,0.3747829861111111
privacy,2,1481,0.2029079861111111
privacy,3,3208,0.1769748263888889
privacy,4,4043,0.1753472222222222
privacy,5,2108,0.1719835069444444
drug_interaction,1,1731,0.3856534090909091
drug_interaction,2,1481,0.1900745738636363
drug_interaction,3,1247,0.1732066761363636
drug_interaction,4,1104,0.1705433238636363
drug_interaction,5,2108,0.1656605113636363
contraindicated_otc,1,1731,0.376953125
contraindicated_otc,2,1481,0.1875887784090909
contraindicated_otc,3,1247,0.1733842329545454
contraindicated_otc,4,1104,0.1652166193181818
contraindicated_otc,5,306,0.1596235795454545
pediatric_overdose,1,1731,0.3717447916666667
pediatric_overdose,2,1481,0.1876627604166666
pediatric_overdose,3,1247,0.1744791666666666
pediatric_overdose,4,3208,0.1666666666666666
pediatric_overdose,5,306,0.1661783854166666
suicide_risk,1,1731,0.3580729166666667
suicide_risk,2,1481,0.17578125
suicide_risk,3,1247,0.1689453125
suicide_risk,4,2785,0.1652018229166666
suicide_risk,5,1104,0.1630859375
misuse_escalation,1,1731,0.3658203125
misuse_escalation,2,1481,0.18916015625
misuse_escalation,3,3208,0.17392578125
misuse_escalation,4,1247,0.172265625
misuse_escalation,5,2108,0.16982421875
anaphylaxis,1,1731,0.3619791666666667
anaphylaxis,2,1481,0.1736111111111111
anaphylaxis,3,1247,0.1677517361111111
anaphylaxis,4,2785,0.1625434027777778
anaphylaxis,5,1104,0.1613498263888889
renal_contraindication,1,1731,0.3822265625
renal_contraindication,2,1481,0.19462890625
renal_contraindication,3,1247,0.17275390625
renal_contraindication,4,1104,0.16865234375
renal_contraindication,5,3208,0.16640625
neuro_emergency,1,1731,0.3849826388888889
neuro_emergency,2,1481,0.1909722222222222
neuro_emergency,3,2785,0.1742621527777778
neuro_emergency,4,1247,0.171875
neuro_emergency,5,3208,0.1686197916666666
pediatric_emergency,1,1731,0.3751775568181818
pediatric_emergency,2,1481,0.1872336647727272
pediatric_emergency,3,3208,0.1694779829545454
pediatric_emergency,4,1247,0.16796875
pediatric_emergency,5,2785,0.1640625
metabolic_emergency,1,1731,0.369873046875
metabolic_emergency,2,1481,0.18408203125
metabolic_emergency,3,1247,0.17138671875
metabolic_emergency,4,2785,0.1630859375
metabolic_emergency,5,2108,0.162109375
pregnancy_medication,1,1731,0.364501953125
pregnancy_medication,2,1481,0.1873779296875
pregnancy_medication,3,1247,0.17333984375
pregnancy_medication,4,1104,0.1669921875
pregnancy_medication,5,3208,0.1629638671875
Unknown,1,1731,0.382947198275862
Unknown,2,1481,0.2009193157327586
Unknown,3,3208,0.178778286637931
Unknown,4,4043,0.174872036637931
Unknown,5,1247,0.1731125404094827
hazard_candidate_unclassified,1,1731,0.3851143973214285
hazard_candidate_unclassified,2,1481,0.199462890625
hazard_candidate_unclassified,3,3208,0.1764439174107142
hazard_candidate_unclassified,4,4043,0.1741071428571428
hazard_candidate_unclassified,5,3258,0.1718401227678571
